epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,149.272,0.67922,1.28303,0.32176,0.41098,0.99841,0.63048,0.63158,0.42199,0.14272,0.76183,0.76316,0.62389,0.23685,2.51162,4.55504,0.27554,1.34527,3.29361,0.0014852,0.0014852,0.0014852
41,152.295,0.6503,1.20289,0.31157,0.40449,0.9831,0.65681,0.65789,0.46857,0.16719,0.76192,0.76316,0.64218,0.23895,2.37995,4.5993,0.2707,1.3384,3.08783,0.001472,0.001472,0.001472
42,155.253,0.62618,1.23525,0.28456,0.38064,0.98046,0.63158,0.63158,0.50671,0.20028,0.76316,0.76316,0.66544,0.30212,2.40391,4.52757,0.25264,1.33992,3.29929,0.0014588,0.0014588,0.0014588
43,158.231,0.67051,1.14502,0.2867,0.41427,0.99451,0.65744,0.65789,0.49681,0.16514,0.76253,0.76316,0.65605,0.21674,2.62313,4.76462,0.27636,1.38183,3.4657,0.0014456,0.0014456,0.0014456
44,161.204,0.62424,1.11233,0.28454,0.38111,0.95172,0.63073,0.63158,0.44909,0.17943,0.73588,0.73684,0.62198,0.23192,2.4064,4.46587,0.21332,1.39862,3.21354,0.0014324,0.0014324,0.0014324
45,164.131,0.64398,1.02703,0.29185,0.3955,0.95744,0.65637,0.65789,0.47818,0.18095,0.76139,0.76316,0.62799,0.25102,2.4184,4.4798,0.22585,1.66141,3.19518,0.0014192,0.0014192,0.0014192
46,167.043,0.66374,1.23666,0.32513,0.4119,0.96779,0.6301,0.63158,0.46196,0.16555,0.76137,0.76316,0.65253,0.28191,2.42007,4.14864,0.22079,1.44138,3.26139,0.001406,0.001406,0.001406
47,170.024,0.61864,0.95468,0.3028,0.37701,0.9594,0.65683,0.65789,0.43596,0.16069,0.78819,0.78947,0.62486,0.26933,2.40131,4.23724,0.23653,1.47607,3.32377,0.0013928,0.0013928,0.0013928
48,172.951,0.62677,0.9017,0.29797,0.3831,0.95357,0.65684,0.65789,0.47167,0.17241,0.78823,0.78947,0.67244,0.36245,2.35537,3.93885,0.22841,1.27697,3.31778,0.0013796,0.0013796,0.0013796
49,175.94,0.62486,0.81776,0.29395,0.39319,0.95987,0.63059,0.63158,0.43375,0.15226,0.84079,0.84211,0.74267,0.39435,2.36425,3.68066,0.21994,1.38492,3.35698,0.0013664,0.0013664,0.0013664
50,178.838,0.64892,0.79145,0.29466,0.39922,0.97289,0.6567,0.65789,0.49904,0.17179,0.84061,0.84211,0.73339,0.42522,2.473,3.46203,0.21174,1.42076,3.41598,0.0013532,0.0013532,0.0013532
51,181.867,0.65031,0.73372,0.2835,0.39182,0.97357,0.68314,0.68421,0.52122,0.18801,0.81449,0.81579,0.72387,0.35215,2.34166,3.49381,0.19975,1.27886,3.26103,0.00134,0.00134,0.00134
52,184.738,0.64611,0.75299,0.2867,0.39187,0.94088,0.68308,0.68421,0.51791,0.19364,0.78817,0.78947,0.65566,0.32936,2.3644,3.4786,0.22078,1.35587,3.36544,0.0013268,0.0013268,0.0013268
53,187.597,0.63826,0.72406,0.30134,0.38996,0.9599,0.63017,0.63158,0.45604,0.17907,0.81397,0.81579,0.73144,0.43673,2.32339,3.44251,0.23992,1.29359,3.39942,0.0013136,0.0013136,0.0013136
